query,user_id,expertise,task,Duration_key1_mean,Duration_key1_std,Duration_key2_mean,Duration_key2_std,DD_time_mean,DD_time_std,UD_time_mean,UD_time_std,UU_time_mean,UU_time_std,DU_time_mean,DU_time_std,Backspace_count,Typing_speed_kpm,typing_features
!!,p26,Novice,task1,184.0,173.9482681718907,66.5,7.7781745930520225,112.0,45.254833995939045,-72.0,219.20310216782974,-5.5,226.98127676088177,178.5,53.033008588991066,0,1500.0,"• Duration: mean=184.00 / std=173.95
• DD-time: mean=112.00 / std=45.25
• UD-time: mean=-72.00 / std=219.20
• UU-time: mean=-5.50 / std=226.98
• DU-time: mean=178.50 / std=53.03
• Total number of Backspace keys: 0
• Typing speed (keystrokes per minute): 1500.00
"
"""분자의 대칭성""이라는 게 무슨 말인지 모르겠어. 초등학생에게 설명하는 것처럼 예를 들어 쉽게 설명해 줘.",p10,Novice,task1,83.98125,28.989365188378258,83.4125,27.38943180941816,113.1125,73.7858526007876,29.13125,78.90150869216234,112.54375,78.9272291915891,196.525,75.86846860390611,16,533.0372015546918,"• Duration: mean=83.98 / std=28.99
• DD-time: mean=113.11 / std=73.79
• UD-time: mean=29.13 / std=78.90
• UU-time: mean=112.54 / std=78.93
• DU-time: mean=196.53 / std=75.87
• Total number of Backspace keys: 16
• Typing speed (keystrokes per minute): 533.04
"
"""연결재무제표""라는 게 누구한테 보여주는  거야? 엄청 쉽게 설명해 줘.",p10,Beginner,task3,93.70103092783505,36.73615525735897,92.69072164948453,35.09313822552015,131.4742268041237,132.68164379316514,37.77319587628866,133.19952961899546,130.46391752577318,135.20840872024118,224.16494845360825,134.09827556158606,7,461.86810570589637,"• Duration: mean=93.70 / std=36.74
• DD-time: mean=131.47 / std=132.68
• UD-time: mean=37.77 / std=133.20
• UU-time: mean=130.46 / std=135.21
• DU-time: mean=224.16 / std=134.10
• Total number of Backspace keys: 7
• Typing speed (keystrokes per minute): 461.87
"
'분자의 대칭성과 점군 분류 체계'가 분광학적 성질과 어떤 연관이 있어?,p6,Novice,task1,103.17699115044248,26.590556221179487,103.19469026548673,26.628012373881102,121.1858407079646,94.56616624207835,18.008849557522122,98.08419265894744,121.20353982300885,104.32069025811325,224.38053097345133,100.57152026792309,7,500.0,"• Duration: mean=103.18 / std=26.59
• DD-time: mean=121.19 / std=94.57
• UD-time: mean=18.01 / std=98.08
• UU-time: mean=121.20 / std=104.32
• DU-time: mean=224.38 / std=100.57
• Total number of Backspace keys: 7
• Typing speed (keystrokes per minute): 500.00
"
'비지배지분의 회계처리'에 대해 설명해줘,p6,Novice,task3,97.15555555555555,22.33622776359228,97.86666666666666,22.481911921283817,118.75555555555556,77.8229796500761,21.6,75.3701170587823,119.46666666666667,82.31027771901769,216.62222222222223,84.7800064575929,0,516.8453292496172,"• Duration: mean=97.16 / std=22.34
• DD-time: mean=118.76 / std=77.82
• UD-time: mean=21.60 / std=75.37
• UU-time: mean=119.47 / std=82.31
• DU-time: mean=216.62 / std=84.78
• Total number of Backspace keys: 0
• Typing speed (keystrokes per minute): 516.85
"
"1. 멀티레벨 큐 스케줄링에서는 구현 방식으로 여러 개의 FIFO 큐 배열을 사용한다는데 FIFO 큐 배열이 구체적으로 뭐야?
2. FIFO 큐 배열이 힙 자료구조와 다른점이 뭐고, 어떤 장단점을 가져? 구체적인 예시도 함께 들어줘.
3. 우선순위 스케줄링에서 기아현상이 발생하면 어떤 문제가 발생할 수 있어?",p40,Novice,task2,120.02352941176471,88.24865390904922,120.05882352941177,88.23079631525479,226.09411764705882,912.2114305089391,106.07058823529412,918.8762695701382,226.12941176470588,922.7527187232829,346.15294117647056,916.4818924021351,12,265.3844953011333,"• Duration: mean=120.02 / std=88.25
• DD-time: mean=226.09 / std=912.21
• UD-time: mean=106.07 / std=918.88
• UU-time: mean=226.13 / std=922.75
• DU-time: mean=346.15 / std=916.48
• Total number of Backspace keys: 12
• Typing speed (keystrokes per minute): 265.38
"
1. 우선순위 큐 2. 멀티레벨 큐 스케쥴링을 최대한 말로만 알기 쉽게 설명해봐,p1,Beginner,task2,99.07777777777778,15.341233105865037,99.26666666666667,15.469288167349342,171.9777777777778,219.42396383512573,72.9,220.09977563812973,172.16666666666666,220.64095853732528,271.24444444444447,220.08268676507214,0,349.40148819152375,"• Duration: mean=99.08 / std=15.34
• DD-time: mean=171.98 / std=219.42
• UD-time: mean=72.90 / std=220.10
• UU-time: mean=172.17 / std=220.64
• DU-time: mean=271.24 / std=220.08
• Total number of Backspace keys: 0
• Typing speed (keystrokes per minute): 349.40
"
1. 종속기업 투자와 자본의 상계제거- 자회사에 투자한게 모회사의 투자와 자회사의 자본으로 2번 기록되므로 둘 다 지운다. 2. 영업권은 어떤 회사를 매입할 때 가격보다 비싸게 산 건 투자비로 기록하고 염감매수차익은 가격보다 싸게 샀을 때 차익으로 기록한다. 3. 비지배지분의 회계처리 - 자회사의 지분이 100% 모회사의 지분이 아니라면 나머지 지분에 대해서 그부분은 우리 회사의 이익이 아니라고 기록한다.. 이렇게 이해했는데 맞아? 틀렸으면 알려줘,p11,Novice,task3,91.24531516183987,80.52800028812283,91.61460101867573,80.74916560331361,158.24617996604414,282.3308093194839,66.28279386712096,293.0815302477891,157.8892674616695,301.56466770749324,249.86078098471987,291.3173532644329,39,378.7213065563581,"• Duration: mean=91.25 / std=80.53
• DD-time: mean=158.25 / std=282.33
• UD-time: mean=66.28 / std=293.08
• UU-time: mean=157.89 / std=301.56
• DU-time: mean=249.86 / std=291.32
• Total number of Backspace keys: 39
• Typing speed (keystrokes per minute): 378.72
"
"1. 힙(Heap) 자료구조가 뭐야?
2. 우선순위 스케줄링과 멀티레벨큐 스케줄링의 장단점에 대해서 각각 설명해줘
3. 우선순위 스케줄링과 멀티레벨큐 스케줄링의 장단점을 기반으로 각각 어떤 상황에서 사용하면 좋을지 알려줘",p40,Novice,task2,116.65882352941176,54.33367962852015,116.67647058823529,54.32824989606275,984.4558823529412,13831.025736200916,867.7970588235294,13836.349623567476,984.4735294117647,13841.045172434551,1101.1323529411766,13835.721795266067,25,60.951561435588545,"• Duration: mean=116.66 / std=54.33
• DD-time: mean=984.46 / std=13831.03
• UD-time: mean=867.80 / std=13836.35
• UU-time: mean=984.47 / std=13841.05
• DU-time: mean=1101.13 / std=13835.72
• Total number of Backspace keys: 25
• Typing speed (keystrokes per minute): 60.95
"
CO2는 대칭적인 분자인데 왜 IR 활성을 가져?,p28,Beginner,task1,88.41025641025641,101.40242072249538,87.92307692307692,101.23591037310632,185.84615384615384,181.52493964612097,97.43589743589743,204.4918590663286,185.35897435897436,238.23005620974362,273.7692307692308,221.37650813814383,28,323.47249101465303,"• Duration: mean=88.41 / std=101.40
• DD-time: mean=185.85 / std=181.52
• UD-time: mean=97.44 / std=204.49
• UU-time: mean=185.36 / std=238.23
• DU-time: mean=273.77 / std=221.38
• Total number of Backspace keys: 28
• Typing speed (keystrokes per minute): 323.47
"
